Id;EnGroupName;EnHelpText;DeGroupName;DeHelpText;FrGroupName;FrHelpText;ItGroupName;ItHelpText
395D9F23-8CC3-4AA0-8C1F-045A593F1EEB;Header Tables;NULL;Vorsatztabellen;NULL;NULL;NULL;NULL;NULL
BAD6DD0B-5ED3-4CEE-B419-0B3FAF9DDACC;TWINT;NULL;TWINT;NULL;NULL;NULL;NULL;NULL
617E9B96-2FC1-4DBB-B666-17533607E005;Real Estate;NULL;Grundstück;NULL;NULL;NULL;NULL;NULL
4DE0D3B7-95D8-473E-BE4C-1D37A958D353;OpenBanking;NULL;OpenBanking;NULL;NULL;NULL;NULL;NULL
DFA425A0-FC5E-41BA-A1D2-22B8F44F2A95;Printing System;NULL;Printing System;NULL;NULL;NULL;NULL;NULL
5041BAF0-4B1E-42DE-BC90-23121D0DDDD6;Portfolio Management Sys;NULL;Portfolio Management Sys;NULL;NULL;NULL;NULL;NULL
E5916290-2B38-446A-9502-236B10CB37F3;Fatca;NULL;Fatca;NULL;NULL;NULL;NULL;NULL
B76A4FBD-6160-4021-9B0C-245C7B4371C2;Order Management;NULL;Auftragsbearbeitung;NULL;NULL;NULL;NULL;NULL
D18C2BAE-7838-4B83-A18E-29041114C63E;Meta Data;NULL;Metadaten;NULL;NULL;NULL;NULL;NULL
C1A52D85-2B4E-4419-B86A-2BE5C47BAD9D;Mail System;NULL;Mail System;NULL;NULL;NULL;NULL;NULL
6B91AE05-A1A4-4F29-9A23-3235F80F4066;Database Checks;NULL;Datenbankprüfungen;NULL;NULL;NULL;NULL;NULL
4ACBE022-2230-43FF-8EE9-38F7F0E7A595;Soft Logic;NULL;NULL;NULL;NULL;NULL;NULL;NULL
7DFEE250-9877-4FDC-9D97-41E6028999F6;Interface;NULL;Schnittstelle;NULL;NULL;NULL;NULL;NULL
492EB932-11A5-4C01-ACD4-498E5CB33327;FIDLEG;NULL;NULL;NULL;NULL;NULL;NULL;NULL
55CF3376-AD4B-4C80-836A-4B8403901D1A;Accountancy Reporting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
75ACEFC4-0A56-4966-97A8-53E8B891EC08;Data Navigation;NULL;Datennavigation;NULL;NULL;NULL;NULL;NULL
A457C69A-1AFF-4501-93C1-65635C1471D4;Pension Data Exchange;NULL;Vorsorge-Datenaustausch;NULL;NULL;NULL;NULL;NULL
F6A6CD91-488E-4742-A2E4-68A2BE5A10A7;Migration;NULL;Migration;NULL;Migration;NULL;Migrazione;NULL
8C7C7FE8-904E-449D-8B00-69C67C6A21D8;Test Archive;Archive Tables for Test Application;NULL;NULL;NULL;NULL;NULL;NULL
2FF0C162-5E66-40C2-B2F7-6F3AFD0C03BB;EasyTax;Tables used for EasyTax interface.;EasyTax;Tabellen für die EasyTax Schnittstelle.;EasyTax;NULL;EasyTax;NULL
CDFBE352-FBD8-46A5-AAD6-6F893F64F551;DataStore;Data Store;DataStore;DataStore;DataStore;DataStore;DataStore;DataStore
20CC6FA2-8EBC-4AFE-A0AF-709583029D4C;Product;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0AA7953A-9813-4F76-9E53-78DF724F757A;Loan;NULL;Kredite;NULL;NULL;NULL;NULL;NULL
39E36615-106E-4BD9-B32F-7D3294315AB3;Currency;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AD1522A5-0089-4328-B6D3-7D873CA13F19;Instrument;NULL;Instrument;NULL;Instrument;NULL;Instrument;NULL
94C2D033-C482-4CD0-842B-8498330B12A6;Development;NULL;Entwicklung;NULL;NULL;NULL;NULL;NULL
